,bathrooms_text
1.0,2807
1.5,1928
2.0,1260
0.5,355
0.75,198
2.5,157
3.0,79
0.0,33
3.5,25
0.25,17
4.5,7
5.0,4
4.0,4
5.5,2
17.0,1
1.75,1
