,bathrooms_text
1.0,31004
2.0,14234
0.5,11097
1.5,5351
0.75,3005
2.5,1954
3.0,1009
3.5,498
1.25,325
4.0,192
0.0,191
4.5,124
0.25,53
5.0,52
1.75,36
5.5,24
6.0,18
2.25,14
6.5,9
7.0,5
2.75,4
7.5,3
8.0,3
10.0,2
12.5,2
10.5,2
9.0,2
8.5,1
16.5,1
12.0,1
16.0,1
17.0,1
4.25,1
20.0,1
