,price,price,price,price,price,price,price,price,prices
,count,mean,std,min,25%,50%,75%,max,
room_type,,,,,,,,,
Entire home/apt,41224.0,227.1387713467883,444.38742031824853,8.0,98.0,149.0,232.0,20362.0,8.0
Hotel room,244.0,245.8360655737705,233.00063973686846,0.0,100.0,202.0,280.75,1490.0,0.0
Private room,27479.0,103.32607773208632,351.8869499026534,0.0,35.0,50.0,76.0,25000.0,0.0
Shared room,404.0,66.23514851485149,94.05062599658804,7.0,29.75,39.0,65.0,1000.0,7.0
